web-scraper-order,web-scraper-start-url,start_scraping,start_scraping-href,image-src,goal,Raised,people,time
"1543372903-672","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/vr-for-personal-and-community-use","https://d2g8igdw686xgo.cloudfront.net/19547028_1491874273.699.png","of $4,000 goal","$1,020","10","Raised by 10 people in 19 months"
"1543370079-626","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computers-for-nwi-families-7","https://d2g8igdw686xgo.cloudfront.net/26359154_1513715231.0038.jpg","of $700 goal","$100","3","Raised by 3 people in 11 months"
"1543366150-422","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/support-misaels-education","https://d2g8igdw686xgo.cloudfront.net/25788720_1512061883.0127.jpg","of $2,187 goal","$150","2","Raised by 2 people in 12 months"
"1543366554-530","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/Africa-Digital-Poultry","https://d2g8igdw686xgo.cloudfront.net/32735526_153620951871159_r.jpeg","of $20,000 goal","$370","12","Raised by 12 people in 2 months"
"1543365674-296","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/meaningful-public-high-school-music-education","https://d2g8igdw686xgo.cloudfront.net/34811376_1543094365473994_r.jpeg","of $15,000 goal","$136","4","Raised by 4 people in 3 days"
"1543366530-521","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/56ca9uo","https://d2g8igdw686xgo.cloudfront.net/27889464_15247718290_r.jpg","goal","£10,600","9 months","Campaign created 9 months ago"
"1543376929-739","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/cynthia-anderson-memorial-fund","https://d2g8igdw686xgo.cloudfront.net/34652036_1542581470482444_r.jpg","of $1,000 goal","$1,195","20","Raised by 20 people in 9 days"
"1543371521-649","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/alexis-higher-achievement","https://d2g8igdw686xgo.cloudfront.net/16150032_1479567007.6633.jpg","of $500 goal","$355","10","Raised by 10 people in 24 months"
"1543366004-384","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/help-educate-beyond-all-barriers","https://d2g8igdw686xgo.cloudfront.net/27549540_1517959887.4685.jpg","goal","$500","9 months","Campaign created 9 months ago"
"1543368998-608","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/amuryk38","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/9994393_1458263262.5731.jpg","of $750 goal","$900","10","Raised by 10 people in 32 months"
"1543365590-276","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/katie039s-world-teach-namibia","https://d2g8igdw686xgo.cloudfront.net/27369424_15173350810_r.jpeg","of $2,000 goal","$260","10","Raised by 10 people in 10 months"
"1543383837-844","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/computers-for-education-in-el-batan","https://d2g8igdw686xgo.cloudfront.net/31838192_1533242479560292_r.jpeg","of $1,500 goal","$180","5","Raised by 5 people in 3 months"
"1543375967-723","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/afghanistan-relief","https://d2g8igdw686xgo.cloudfront.net/30101436_1532562154862698_r.jpg","of $10,000 goal","$2,351","92","Raised by 92 people in 6 months"
"1543366320-461","https://www.gofundme.com/mvc.php?route=homepage_norma/search&term=computer%20in%20education","","https://www.gofundme.com/CDV_Computer","https://2dbdd5116ffa30a49aa8-c03f075f8191fb4e60e74b907071aee8.ssl.cf1.rackcdn.com/7506993_1449687287.405.png","of $500 goal","$500","9","Raised by 9 people in 36 months"
